model,domain,factor,ATE,ci_low,ci_high,n_pairs
doubao-seed-2-0-mini-260428,consumer_product,S3,-0.12222222222222222,-0.20894444444444446,-0.024444444444444446,450
doubao-seed-2-0-mini-260428,consumer_product,S4,0.17777777777777778,0.0555,0.2979444444444443,450
doubao-seed-2-0-mini-260428,consumer_product,O1,0.0,-0.07777777777777778,0.08444444444444445,450
doubao-seed-2-0-mini-260428,consumer_product,O2,-0.02666666666666667,-0.10894444444444444,0.06444444444444444,450
doubao-seed-2-0-mini-260428,consumer_product,O3,0.04888888888888889,-0.03111111111111111,0.1288888888888889,450
doubao-seed-2-0-mini-260428,consumer_product,O4,0.07333333333333333,-0.006666666666666667,0.16666666666666666,450
doubao-seed-2-0-mini-260428,finance,S1,0.20222222222222222,0.10222222222222223,0.2956111111111111,450
doubao-seed-2-0-mini-260428,finance,S2,-0.044444444444444446,-0.13111111111111112,0.03777777777777778,450
doubao-seed-2-0-mini-260428,finance,S3,0.15333333333333332,0.05333333333333334,0.25333333333333335,450
doubao-seed-2-0-mini-260428,finance,S4,0.16,0.044388888888888894,0.2756111111111111,450
doubao-seed-2-0-mini-260428,finance,O1,-0.09333333333333334,-0.18894444444444444,-0.0021666666666667173,450
doubao-seed-2-0-mini-260428,finance,O2,-0.03333333333333333,-0.09111111111111111,0.02,450
doubao-seed-2-0-mini-260428,finance,O3,0.06,-0.028888888888888888,0.14894444444444438,450
doubao-seed-2-0-mini-260428,finance,O4,0.022222222222222223,-0.0645,0.10444444444444445,450
doubao-seed-2-0-mini-260428,health,S1,0.1511111111111111,0.057777777777777775,0.25555555555555554,450
doubao-seed-2-0-mini-260428,health,S2,-0.0022222222222222222,-0.12233333333333332,0.10449999999999995,450
doubao-seed-2-0-mini-260428,health,S3,0.051111111111111114,-0.051166666666666666,0.16455555555555545,450
doubao-seed-2-0-mini-260428,health,S4,0.17333333333333334,0.07994444444444444,0.28005555555555556,450
doubao-seed-2-0-mini-260428,health,O1,0.035555555555555556,-0.04666666666666667,0.12444444444444444,450
doubao-seed-2-0-mini-260428,health,O2,0.11333333333333333,0.028888888888888888,0.2111666666666666,450
doubao-seed-2-0-mini-260428,health,O3,0.06888888888888889,-0.042277777777777775,0.18666666666666668,450
doubao-seed-2-0-mini-260428,health,O4,0.022222222222222223,-0.03111111111111111,0.08,450
doubao-seed-2-0-mini-260428,travel,S1,0.0022222222222222222,-0.08222222222222222,0.08666666666666667,450
doubao-seed-2-0-mini-260428,travel,S2,-0.10222222222222223,-0.18,-0.03333333333333333,450
doubao-seed-2-0-mini-260428,travel,S3,-0.09555555555555556,-0.18,-0.013333333333333334,450
doubao-seed-2-0-mini-260428,travel,S4,0.015555555555555555,-0.0645,0.09777777777777778,450
doubao-seed-2-0-mini-260428,travel,O1,-0.02,-0.06444444444444444,0.022222222222222223,450
doubao-seed-2-0-mini-260428,travel,O2,-0.022222222222222223,-0.10005555555555556,0.051111111111111114,450
doubao-seed-2-0-mini-260428,travel,O3,0.02666666666666667,-0.03333333333333333,0.09555555555555556,450
doubao-seed-2-0-mini-260428,travel,O4,0.03333333333333333,-0.020055555555555552,0.08222222222222222,450
google__gemini-3.1-flash-lite,academic_qa,S1,-0.07111111111111111,-0.1933888888888889,0.048944444444444395,450
google__gemini-3.1-flash-lite,academic_qa,S2,-0.13333333333333333,-0.2245,-0.04888888888888889,450
google__gemini-3.1-flash-lite,academic_qa,S3,0.24666666666666667,0.13777777777777778,0.3511666666666666,450
google__gemini-3.1-flash-lite,academic_qa,S4,0.017777777777777778,-0.05783333333333333,0.09333333333333334,450
google__gemini-3.1-flash-lite,academic_qa,O1,-0.008888888888888889,-0.1,0.08,450
google__gemini-3.1-flash-lite,academic_qa,O2,-0.03777777777777778,-0.14444444444444443,0.07777777777777778,450
google__gemini-3.1-flash-lite,academic_qa,O3,-0.07555555555555556,-0.1645,0.0,450
google__gemini-3.1-flash-lite,academic_qa,O4,0.024444444444444446,-0.1,0.13777777777777778,450
google__gemini-3.1-flash-lite,consumer_product,S1,0.17333333333333334,0.044388888888888894,0.29777777777777775,450
google__gemini-3.1-flash-lite,consumer_product,S2,-0.12,-0.24,0.006666666666666667,450
google__gemini-3.1-flash-lite,consumer_product,S3,-0.07333333333333333,-0.18666666666666668,0.03777777777777778,450
google__gemini-3.1-flash-lite,consumer_product,S4,0.1511111111111111,0.01994444444444445,0.284611111111111,450
google__gemini-3.1-flash-lite,consumer_product,O1,0.04,-0.042222222222222223,0.13116666666666663,450
google__gemini-3.1-flash-lite,consumer_product,O2,-0.02,-0.1245,0.08,450
